measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,8,Taiwan (Province of China),3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,2584.319774,2720.569872,2458.194655
1,Deaths,8,Taiwan (Province of China),3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,3163.238493,3323.191459,3006.695113
1,Deaths,71,Australia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,4971.422872,5169.251791,4759.069577
1,Deaths,71,Australia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,5709.324983,5916.828342,5480.766551
1,Deaths,41,Uzbekistan,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,1078.635026,1181.599195,971.7615635
1,Deaths,41,Uzbekistan,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,1528.014167,1670.973484,1400.878483
1,Deaths,168,Angola,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,288.3645933,413.8281787,179.9350613
1,Deaths,168,Angola,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,447.6391535,634.1020127,286.4567518
1,Deaths,37,Kyrgyzstan,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,579.6766701,619.400993,539.7587757
1,Deaths,37,Kyrgyzstan,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,688.9638597,739.0881997,640.7220592
1,Deaths,210,Liberia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,44.15674669,55.92017851,32.35799294
1,Deaths,210,Liberia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,79.93683155,101.7922923,60.20088082
1,Deaths,94,Switzerland,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,2887.168627,3013.582761,2757.442702
1,Deaths,94,Switzerland,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,3330.329243,3469.701893,3186.394847
1,Deaths,117,Saint Vincent and the Grenadines,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,2.969720269,3.389180947,2.613084008
1,Deaths,117,Saint Vincent and the Grenadines,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,4.649341359,5.375393202,3.988625468
1,Deaths,81,Germany,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,28984.28317,30206.00288,27577.98941
1,Deaths,81,Germany,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,32936.95869,34315.84116,31492.31186
1,Deaths,204,Chad,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,96.73454437,137.5229023,65.72328728
1,Deaths,204,Chad,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,174.0309424,241.2510574,119.2000383
1,Deaths,39,Tajikistan,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,361.8373336,407.2235309,321.6885649
1,Deaths,39,Tajikistan,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,454.393763,510.0200164,408.148786
1,Deaths,10,Cambodia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,780.6277205,992.424328,597.6885125
1,Deaths,10,Cambodia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,945.5044574,1196.626838,730.5847025
1,Deaths,170,Congo,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,75.89608478,119.1763418,41.71143496
1,Deaths,170,Congo,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,140.6153029,214.8427246,78.78972248
1,Deaths,113,Guyana,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,15.35426805,17.87864819,12.98491608
1,Deaths,113,Guyana,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,22.46887437,26.34910333,18.68170491
1,Deaths,115,Jamaica,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,163.8388658,176.7529044,150.7227837
1,Deaths,115,Jamaica,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,210.6358576,226.8569804,194.1640158
1,Deaths,107,Barbados,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,13.87987217,15.65520485,12.14358908
1,Deaths,107,Barbados,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,19.58225143,22.31696077,16.97543023
1,Deaths,172,Equatorial Guinea,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,10.67919114,19.80915624,5.082069421
1,Deaths,172,Equatorial Guinea,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,19.4748076,34.41591713,9.922324361
1,Deaths,119,Trinidad and Tobago,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,61.04886098,66.32410017,56.32391733
1,Deaths,119,Trinidad and Tobago,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,76.40124026,84.21918087,68.9582005
1,Deaths,20,Viet Nam,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,5674.761197,7001.358609,4386.12476
1,Deaths,20,Viet Nam,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,7331.474347,8969.651167,5708.167608
1,Deaths,198,Zimbabwe,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,347.7873167,401.5860531,295.2031026
1,Deaths,198,Zimbabwe,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,451.9327331,515.5676153,394.0926605
1,Deaths,16,Philippines,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,4663.68049,5344.762938,4010.601276
1,Deaths,16,Philippines,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,5729.279606,6508.672738,4996.72994
1,Deaths,75,Austria,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,2378.876321,2482.467887,2278.283494
1,Deaths,75,Austria,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,2782.207188,2920.020211,2657.960866
1,Deaths,43,Albania,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,453.2682226,491.8339735,416.0381631
1,Deaths,43,Albania,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,534.6920878,578.4542757,493.0577118
1,Deaths,49,North Macedonia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,446.1854892,490.4060979,401.1514382
1,Deaths,49,North Macedonia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,503.9110221,548.6426428,458.5870535
1,Deaths,161,Bangladesh,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,2964.580198,3855.81597,2121.642371
1,Deaths,161,Bangladesh,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,3694.665588,4793.053228,2624.497762
1,Deaths,47,Czechia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,4981.919374,5228.161142,4754.299304
1,Deaths,47,Czechia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,5642.11677,5928.879892,5388.57133
1,Deaths,178,Eritrea,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,25.3928818,37.37945058,16.05634667
1,Deaths,178,Eritrea,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,48.51746586,67.84732545,32.40724777
1,Deaths,22,Fiji,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,23.04017764,28.95384921,18.25430956
1,Deaths,22,Fiji,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,29.18259378,36.57675839,23.17468182
1,Deaths,24,Marshall Islands,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,2.530481351,4.138662555,1.400582301
1,Deaths,24,Marshall Islands,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,3.461417677,5.44612951,2.017865115
1,Deaths,35,Georgia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,1333.457375,1485.991584,1195.27657
1,Deaths,35,Georgia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,1561.492924,1742.333302,1403.291784
1,Deaths,109,Cuba,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,2553.23717,2681.339023,2401.098675
1,Deaths,109,Cuba,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,2884.310951,3044.316399,2712.910751
1,Deaths,136,Paraguay,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,172.601284,199.4134606,149.5426606
1,Deaths,136,Paraguay,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,200.9727822,229.6217225,176.3160315
1,Deaths,85,Israel,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,868.0125678,913.7408535,816.760483
1,Deaths,85,Israel,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,975.5276147,1027.013215,920.4484434
1,Deaths,33,Armenia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,803.5567494,853.1341888,756.5868183
1,Deaths,33,Armenia,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,932.7474517,991.9506176,878.7213616
1,Deaths,45,Bulgaria,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,2828.29351,3017.58324,2641.525067
1,Deaths,45,Bulgaria,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,3101.245274,3308.669215,2904.701712
1,Deaths,111,Dominican Republic,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,247.7884752,286.727623,214.6671768
1,Deaths,111,Dominican Republic,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,313.1093804,361.575923,274.0018761
1,Deaths,105,Antigua and Barbuda,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,2.324853765,2.639949116,2.032567748
1,Deaths,105,Antigua and Barbuda,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,3.402644439,3.960880839,2.925041027
1,Deaths,12,Lao People's Democratic Republic,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,390.9745694,553.953047,275.9113515
1,Deaths,12,Lao People's Democratic Republic,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",169,All risk factors,1,Number,1990,476.9764661,671.2877539,335.8198239
1,Deaths,14,Maldives,3,Both,22,All ages,426,"Tracheal, bronchus, and lung cancer",99,Smoking,1,Number,1990,7.809384225,10.99785035,5.278604854
